"ParasiteID","Mean T cell number","VI(0)","k,1/h"
1,4.8,99.085,0.174
2,0.,5.332,0.
3,2.2,2.09,0.011
4,4.8,3.013,0.006
5,2.,1.995,0.002
6,0.,5.831,0.
7,7.2,2.89,0.023
8,8.9,4.924,0.069
9,2.9,1.661,0.014
10,0.,3.497,0.
11,1.,4.711,0.004
12,3.1,6.12,0.
13,0.,2.47,0.
14,0.1,5.303,0.291
15,0.,4.371,0.
16,0.,7.047,0.
17,2.6,13.413,0.037
18,3.,7.635,0.095
19,3.3,40.512,0.097
20,1.4,2.722,0.037
21,1.,20.819,0.176
22,0.2,78.891,1.947
23,5.5,3.133,0.025
24,1.1,5.596,0.109
25,0.,2.657,0.
26,1.,99.,0.534
27,0.2,3.079,0.
28,0.7,5.483,0.305
29,1.,5.647,0.
30,0.,3.186,0.
31,0.,6.073,0.
32,0.,2.235,0.
